#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2021-11-03T12:43:34 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ618280b2388b7b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-nav=cat:J/ApJ/892/102&tab:{J/ApJ/892/102/table3}&key:source=J/ApJ/892/102&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/892/102/table3
#-order=I
#-out=PLCKESZ
#-out=f_PLCKESZ
#-out=z
#-out=M500
#-out=E_M500
#-out=e_M500
#-out=Mg500
#-out=E_Mg500
#-out=e_Mg500
#-out=kT
#-out.all=2
#-out=E_kT
#-out=e_kT
#-out=kTexc
#-out=E_kTexc
#-out=e_kTexc
#-out=LX
#-out=E_LX
#-out=e_LX
#-out=LXexc
#-out=E_LXexc
#-out=e_LXexc
#-out=Lbol
#-out=E_Lbol
#-out.all=2
#-out=e_Lbol
#-out=Lbolexc
#-out=E_Lbolexc
#-out=e_Lbolexc
#-out=NT
#-out=fT
#-out=Nsb
#-out=fsb
#-out=Simbad
#Simbad=Simbad
#-out=NED
#NED=NED
#-out=_RA
#-out=_DE
#-out.all=2
#

#RESOURCE=yCat_18920102
#Name: J/ApJ/892/102
#Title: XMM X-ray data of Planck ESZ galaxy clusters (Lovisari+, 2020)
#Table	J_ApJ_892_102_table3:
#Name: J/ApJ/892/102/table3
#Title: Cluster properties
#Column	PLCKESZ	(A13)	Planck identifier GLLL.ll+BB.bb (1)	[ucd=meta.id;meta.main]
#Column	f_PLCKESZ	(A1)	[*] * = not explained in the paper	[ucd=stat.fit.param]
#Column	z	(F6.3)	[0.059/0.6] Cluster spectroscopic redshift	[ucd=src.redshift]
#Column	M500	(F5.2)	[2.4/17.6] Total mass with R_500_	[ucd=phys.mass]
#Column	E_M500	(F5.2)	[0.04/6] Upper uncertainty in M500	[ucd=stat.error;stat.max]
#Column	e_M500	(F5.2)	[0.03/5] Lower uncertainty in M500	[ucd=stat.error]
#Column	Mg500	(F5.2)	[2.87/32] Gas mass with R_500_	[ucd=phys.mass]
#Column	E_Mg500	(F5.2)	[0.03/3] Upper uncertainty in Mg500	[ucd=stat.error;stat.max]
#Column	e_Mg500	(F5.2)	[0.03/6] Upper uncertainty in Mg500	[ucd=stat.error]
#Column	kT	(F5.2)	[1.67/14.4] Core-included cluster temperature	[ucd=phys.temperature;em.X-ray]
#Column	E_kT	(F5.2)	[0.03/1.4] Upper uncertainty in kT	[ucd=stat.error;stat.max]
#Column	e_kT	(F5.2)	[0.03/1.4] Lower uncertainty in kT	[ucd=stat.error;phys.energy]
#Column	kTexc	(F5.2)	[1.4/15.1] Core-excluded cluster temperature	[ucd=phys.temperature;em.X-ray]
#Column	E_kTexc	(F5.2)	[0.04/1.6] Upper uncertainty in kTexc	[ucd=stat.error;stat.max]
#Column	e_kTexc	(F5.2)	[0.04/1.6] Lower uncertainty in kTexc	[ucd=stat.error]
#Column	LX	(F5.2)	[1.28/27.1] Core-included cluster 0.1-2.4keV luminosity; erg/s	[ucd=phys.luminosity;em.X-ray]
#Column	E_LX	(F5.2)	[0.04/1.7] Upper uncertainty in LX	[ucd=stat.error;stat.max]
#Column	e_LX	(F5.2)	[0.04/1.7] Lower uncertainty in LX	[ucd=stat.error]
#Column	LXexc	(F5.2)	[0.86/18] Core-excluded cluster 0.1-2.4keV luminosity; erg/s	[ucd=phys.luminosity;em.X-ray]
#Column	E_LXexc	(F5.2)	[0.01/1.3] Upper uncertainty in LXexc	[ucd=stat.error;stat.max]
#Column	e_LXexc	(F5.2)	[0.01/1.3] Lower uncertainty in LXexc	[ucd=stat.error]
#Column	Lbol	(F5.2)	[2.6/87] Core-included cluster bolometric (0.01-100keV) luminosity; erg/s	[ucd=phys.luminosity]
#Column	E_Lbol	(F5.2)	[0.1/8] Upper uncertainty in Lbol	[ucd=stat.error;stat.max]
#Column	e_Lbol	(F5.2)	[0.1/8] Lower uncertainty in Lbol	[ucd=stat.error]
#Column	Lbolexc	(F5.2)	[1.87/61] Core-excluded cluster bolometric (0.01-100keV) luminosity; in erg/s units	[ucd=phys.luminosity]
#Column	E_Lbolexc	(F5.2)	[0.01/4] Upper uncertainty in Lbolexc	[ucd=stat.error;stat.max]
#Column	e_Lbolexc	(F5.2)	[0.01/4] Lower uncertainty in Lbolexc	[ucd=stat.error]
#Column	NT	(I2)	[1/33] Number of temperature profile bins	[ucd=meta.number]
#Column	fT	(F5.2)	[0.3/1.3] Fraction of R_500_ covered by temperature profile	[ucd=stat.fit.param]
#Column	Nsb	(I3)	[4/372] Number of surface brightness profile bins	[ucd=meta.number]
#Column	fsb	(F5.2)	[0.5/1.7] Fraction of R_500_ covered by surface brightness profile	[ucd=stat.fit.param]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.number]
#Column	_RA	(F7.3)	Positions from Planck ESZ catalog (VIII/88) (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F7.3)	Positions from Planck ESZ catalog (VIII/88) (declination part)	[ucd=pos.eq.dec;meta.main]
PLCKESZ	f_PLCKESZ	z	M500	E_M500	e_M500	Mg500	E_Mg500	e_Mg500	kT	E_kT	e_kT	kTexc	E_kTexc	e_kTexc	LX	E_LX	e_LX	LXexc	E_LXexc	e_LXexc	Lbol	E_Lbol	e_Lbol	Lbolexc	E_Lbolexc	e_Lbolexc	NT	fT	Nsb	fsb	Simbad	NED	_RA	_DE
G164.18-38.89	*	 0.074	 5.07	 0.45	 0.22	 6.30	 0.28	 0.15	 6.52	 0.15	 0.15	 6.50	 0.18	 0.18	 4.16	 0.19	 0.19	 3.30	 0.13	 0.13	 8.83	 0.47	 0.47	 7.01	 0.34	 0.34	13	 0.70	 66	 1.01	Simbad	NED	044.726	+13.560
G166.13+43.39	 	 0.217	 6.86	 0.48	 0.41	 8.68	 0.22	 0.19	 6.56	 0.21	 0.21	 6.30	 0.29	 0.29	 6.83	 0.22	 0.22	 4.18	 0.11	 0.11	16.37	 0.51	 0.51	10.02	 0.37	 0.37	 6	 0.76	 15	 0.83	Simbad	NED	139.493	+51.693
G167.65+17.64	*	 0.174	 5.88	 0.40	 0.30	 9.25	 0.26	 0.21	 6.28	 0.20	 0.20	 6.02	 0.23	 0.23	 6.41	 0.25	 0.25	 4.74	 0.11	 0.11	13.84	 0.76	 0.76	10.24	 0.36	 0.36	11	 0.77	 29	 0.97	Simbad	NED	099.539	+47.801
G171.94-40.65	 	 0.270	12.33	 3.45	 2.12	15.02	 0.96	 0.75	 9.79	 0.45	 0.45	 9.37	 0.49	 0.49	11.21	 0.36	 0.36	 7.32	 0.18	 0.18	32.74	 2.28	 2.28	21.47	 0.26	 0.26	 4	 0.34	 11	 0.54	Simbad	NED	048.231	+08.380
G180.24+21.04	 	 0.546	12.58	 0.53	 0.68	23.47	 0.36	 0.50	10.12	 0.25	 0.25	 9.96	 0.27	 0.27	23.81	 0.78	 0.78	17.95	 0.47	 0.47	72.74	 3.61	 3.61	54.55	 2.36	 2.36	 5	 0.95	 33	 1.58	Simbad	NED	109.378	+37.761
G182.44-28.29	 	 0.088	 6.93	 0.17	 0.18	 9.58	 0.11	 0.20	 7.53	 0.12	 0.12	 7.13	 0.32	 0.32	12.18	 0.11	 0.11	 4.69	 0.01	 0.01	33.55	 0.44	 0.44	12.89	 0.08	 0.08	26	 0.99	 65	 1.10	Simbad	NED	063.353	+10.452
G182.63+55.82	 	 0.206	 4.77	 0.26	 0.16	 6.88	 0.15	 0.10	 5.71	 0.11	 0.11	 5.54	 0.15	 0.15	 6.06	 0.20	 0.20	 3.18	 0.07	 0.07	13.90	 0.65	 0.65	 7.28	 0.25	 0.25	 8	 0.97	 40	 1.34	Simbad	NED	154.238	+39.009
G186.39+37.25	 	 0.282	 9.28	 1.19	 0.89	12.49	 0.61	 0.52	 8.77	 1.40	 1.40	 7.38	 1.58	 1.58	11.61	 0.60	 0.60	 8.27	 0.50	 0.50	30.83	 2.56	 2.56	22.24	 1.51	 1.51	 1	 0.57	  4	 0.84	Simbad	NED	130.734	+36.336
G195.62+44.05	 	 0.295	 5.82	 0.72	 0.49	 8.77	 0.49	 0.36	 5.26	 0.13	 0.13	 5.26	 0.15	 0.15	 4.82	 0.21	 0.21	 4.10	 0.15	 0.15	10.30	 0.58	 0.58	 8.77	 0.43	 0.43	 6	 0.97	 32	 1.06	Simbad	NED	140.086	+30.487
G195.77-24.30	 	 0.203	 6.67	 0.32	 0.22	11.14	 0.24	 0.16	 6.80	 0.18	 0.18	 6.84	 0.21	 0.21	 6.95	 0.24	 0.24	 5.84	 0.19	 0.19	17.45	 1.03	 1.03	14.67	 0.81	 0.81	12	 1.03	 47	 1.26	Simbad	NED	073.546	+02.958
G218.85+35.50	 	 0.175	 3.86	 0.45	 0.41	 4.30	 0.20	 0.19	 4.48	 0.31	 0.31	 4.17	 0.54	 0.54	 3.05	 0.17	 0.17	 1.72	 0.06	 0.06	 6.52	 0.46	 0.46	 3.68	 0.18	 0.18	 5	 0.44	 26	 1.14	Simbad	NED	137.298	+10.956
G225.92-19.99	 	 0.460	11.07	 3.23	 4.48	21.96	 2.86	 5.42	 7.01	 0.33	 0.33	 7.46	 0.42	 0.42	22.54	 1.69	 1.69	16.54	 1.24	 1.24	56.88	 5.50	 5.50	41.61	 3.16	 3.16	 4	 0.90	 34	 1.07	Simbad	NED	090.062	-20.123
G226.17-21.91	 	 0.099	 4.61	 0.32	 0.23	 5.10	 0.11	 0.09	 4.85	 0.11	 0.11	 4.65	 0.14	 0.14	 3.31	 0.12	 0.12	 2.38	 0.07	 0.07	 6.95	 0.34	 0.34	 4.99	 0.20	 0.20	14	 0.94	 46	 0.99	Simbad	NED	088.262	-21.062
G226.24+76.76	 	 0.143	 6.28	 0.12	 0.09	 8.34	 0.06	 0.05	 7.03	 0.06	 0.06	 6.89	 0.08	 0.08	 6.83	 0.10	 0.10	 3.26	 0.02	 0.02	17.63	 0.35	 0.35	 8.40	 0.07	 0.07	10	 1.11	 58	 1.31	Simbad	NED	178.812	+23.387
G228.15+75.19	 	 0.545	 7.94	 0.96	 0.60	13.54	 0.78	 0.57	 9.46	 0.69	 0.69	 9.20	 0.78	 0.78	15.35	 0.78	 0.78	 9.64	 0.42	 0.42	43.85	 3.43	 3.43	34.24	 1.67	 1.67	 3	 1.07	 17	 1.16	Simbad	NED	177.389	+22.403
G228.49+53.12	 	 0.143	 5.16	 0.35	 0.42	 5.87	 0.17	 0.21	 5.29	 0.17	 0.17	 5.54	 0.37	 0.37	 4.76	 0.16	 0.16	 1.93	 0.03	 0.03	10.23	 0.46	 0.46	 4.16	 0.11	 0.11	 7	 0.94	 29	 1.26	Simbad	NED	156.508	+12.796
G229.21-17.24	 	 0.171	 5.26	 1.84	 1.19	 6.56	 0.84	 0.68	 5.72	 0.28	 0.28	 5.65	 0.35	 0.35	 2.90	 0.17	 0.17	 2.33	 0.06	 0.06	 6.39	 0.52	 0.52	 5.14	 0.26	 0.26	 8	 0.75	 20	 0.81	Simbad	NED	094.069	-21.935
G229.94+15.29	 	 0.070	 7.01	 0.25	 0.26	 8.51	 0.12	 0.13	 6.94	 0.15	 0.15	 6.79	 0.28	 0.28	 5.62	 0.09	 0.09	 2.80	 0.02	 0.02	14.67	 0.35	 0.35	 7.30	 0.11	 0.11	17	 1.17	163	 1.43	Simbad	NED	124.366	-07.520
G236.95-26.67	 	 0.148	 5.91	 0.32	 0.33	 6.96	 0.14	 0.14	 5.79	 0.13	 0.13	 5.57	 0.17	 0.17	 3.96	 0.14	 0.14	 2.42	 0.05	 0.05	 9.20	 0.43	 0.43	 5.61	 0.20	 0.20	10	 0.83	 52	 0.79	Simbad	NED	086.888	-31.900
G241.74-30.88	 	 0.271	 5.80	 0.42	 0.33	 7.59	 0.25	 0.22	 6.98	 0.35	 0.35	 6.75	 0.52	 0.52	 8.14	 0.28	 0.28	 4.62	 0.11	 0.11	19.94	 1.15	 1.15	11.32	 0.52	 0.52	 4	 0.91	 15	 1.03	Simbad	NED	083.226	-37.024
G241.77-24.00	 	 0.139	 3.29	 0.06	 0.06	 3.95	 0.04	 0.04	 4.55	 0.06	 0.06	 4.93	 0.12	 0.12	 4.74	 0.14	 0.14	 2.10	 0.07	 0.07	 9.89	 0.32	 0.32	 4.43	 0.15	 0.15	 9	 0.84	 48	 1.01	Simbad	NED	091.481	-35.291
G241.97+14.85	 	 0.169	 4.13	 0.64	 0.38	 7.10	 0.69	 0.45	 6.12	 0.10	 0.10	 6.23	 0.11	 0.11	 4.88	 0.33	 0.33	 3.08	 0.18	 0.18	10.54	 0.82	 0.82	 6.66	 0.47	 0.47	14	 1.15	 33	 1.51	Simbad	NED	130.480	-17.500
G244.34-32.13	 	 0.284	 6.94	 0.54	 0.50	11.46	 0.39	 0.38	 7.02	 0.29	 0.29	 7.25	 0.41	 0.41	10.30	 0.39	 0.39	 6.93	 0.21	 0.21	24.97	 1.74	 1.74	16.90	 1.06	 1.06	 5	 0.90	 11	 0.94	Simbad	NED	082.220	-39.444
G244.69+32.49	 	 0.153	 3.70	 0.31	 0.19	 5.04	 0.17	 0.12	 5.20	 0.26	 0.26	 5.01	 0.29	 0.29	 3.18	 0.13	 0.13	 2.39	 0.08	 0.08	 6.54	 0.46	 0.46	 4.91	 0.30	 0.30	 5	 0.63	 11	 0.70	Simbad	NED	146.361	-08.640
G247.17-23.32	 	 0.152	 3.17	 0.54	 0.35	 4.16	 0.37	 0.26	 4.45	 0.24	 0.24	 4.65	 0.38	 0.38	 2.49	 0.14	 0.14	 1.81	 0.08	 0.08	 4.84	 0.40	 0.40	 3.51	 0.25	 0.25	 7	 1.01	 17	 1.01	Simbad	NED	094.111	-39.824
G249.87-39.86	 	 0.165	 2.86	 0.56	 0.40	 4.02	 0.36	 0.28	 3.97	 0.22	 0.22	 3.91	 0.33	 0.33	 2.33	 0.10	 0.10	 1.51	 0.04	 0.04	 3.91	 0.24	 0.24	 2.53	 0.10	 0.10	 5	 0.51	 15	 0.84	Simbad	NED	072.445	-44.657
G250.90-36.25	 	 0.200	 5.36	 0.51	 0.36	 6.74	 0.27	 0.20	 5.98	 0.23	 0.23	 5.97	 0.36	 0.36	 4.91	 0.18	 0.18	 2.93	 0.08	 0.08	11.18	 0.66	 0.66	 6.67	 0.31	 0.31	 6	 0.83	 21	 0.83	Simbad	NED	077.589	-45.337
G252.96-56.05	 	 0.075	 3.58	 0.04	 0.05	 3.90	 0.03	 0.03	 4.10	 0.03	 0.03	 4.37	 0.08	 0.08	 3.85	 0.04	 0.04	 1.49	 0.01	 0.01	 7.42	 0.10	 0.10	 2.88	 0.01	 0.01	15	 0.60	133	 0.77	Simbad	NED	049.515	-44.263
G253.47-33.72	 	 0.191	 4.52	 0.44	 0.48	 5.71	 0.30	 0.33	 5.96	 0.38	 0.38	 5.76	 0.52	 0.52	 3.56	 0.18	 0.18	 2.48	 0.11	 0.11	 8.59	 0.70	 0.70	 5.98	 0.43	 0.43	 6	 1.00	 16	 1.07	Simbad	NED	081.467	-47.253
G256.45-65.71	 	 0.220	 5.42	 0.89	 0.76	 7.18	 0.57	 0.54	 4.94	 0.19	 0.19	 5.73	 0.33	 0.33	 5.74	 0.25	 0.25	 3.63	 0.12	 0.12	11.96	 0.72	 0.72	 7.54	 0.38	 0.38	 7	 1.01	 22	 1.17	Simbad	NED	036.479	-41.890
G257.34-22.18	 	 0.203	 3.19	 0.88	 0.51	 4.51	 0.82	 0.51	 1.67	 1.34	 1.34	 1.40	 1.33	 1.33	 2.76	 0.34	 0.34	 2.43	 0.31	 0.31	 6.09	 1.06	 1.06	 5.37	 0.94	 0.94	 2	 0.35	 11	 0.82	Simbad	NED	099.351	-48.494
G260.03-63.44	 	 0.284	 7.15	 0.73	 0.73	10.03	 0.33	 0.29	 6.43	 0.18	 0.18	 6.76	 0.28	 0.28	12.55	 0.26	 0.26	 7.60	 0.01	 0.01	28.88	 1.13	 1.13	17.53	 0.26	 0.26	 5	 0.72	 22	 1.17	Simbad	NED	038.057	-44.375
G262.25-35.36	 	 0.295	 6.59	 0.90	 0.70	10.80	 0.78	 0.67	 7.90	 0.19	 0.19	 7.86	 0.20	 0.20	 6.94	 0.37	 0.37	 5.89	 0.28	 0.28	17.22	 1.60	 1.60	14.66	 1.26	 1.26	 5	 0.68	 12	 0.95	Simbad	NED	079.172	-54.520
G262.71-40.91	 	 0.420	 9.16	 2.11	 1.59	12.29	 0.78	 0.69	 9.33	 0.39	 0.39	10.08	 0.68	 0.68	12.84	 0.44	 0.44	 6.69	 0.16	 0.16	36.85	 2.32	 2.32	19.17	 0.10	 0.10	 3	 0.44	 12	 0.75	Simbad	NED	069.624	-54.309
G263.16-23.41	 	 0.227	 7.07	 0.35	 0.28	11.22	 0.22	 0.18	 7.18	 0.16	 0.16	 7.43	 0.26	 0.26	10.55	 0.34	 0.34	 5.49	 0.12	 0.12	27.27	 1.28	 1.28	14.18	 0.54	 0.54	 8	 0.97	 45	 1.06	Simbad	NED	099.735	-53.991
G263.66-22.53	 	 0.164	 8.59	 0.65	 0.45	10.52	 0.29	 0.21	 7.10	 0.18	 0.18	 7.22	 0.28	 0.28	 6.55	 0.23	 0.23	 4.08	 0.11	 0.11	16.83	 0.88	 0.88	10.48	 0.47	 0.47	10	 1.05	 34	 1.12	Simbad	NED	101.386	-54.212
G266.03-21.25	 	 0.296	12.56	 0.34	 0.34	21.79	 0.22	 0.23	10.57	 0.26	 0.26	10.66	 0.34	 0.34	21.79	 0.68	 0.68	15.16	 0.38	 0.38	65.46	 2.90	 2.90	45.55	 1.78	 1.78	10	 1.03	 59	 1.32	Simbad	NED	104.628	-55.960
G269.31-49.87	 	 0.085	 2.65	 0.41	 0.23	 3.19	 0.26	 0.16	 4.82	 0.25	 0.25	 4.93	 0.39	 0.39	 1.62	 0.08	 0.08	 1.07	 0.03	 0.03	 3.34	 0.25	 0.25	 2.20	 0.14	 0.14	 7	 0.73	 34	 0.83	Simbad	NED	052.164	-55.717
G271.19-30.96	 	 0.370	 8.38	 0.68	 0.53	12.80	 0.49	 0.52	 8.22	 0.24	 0.24	 8.80	 0.46	 0.46	19.29	 0.67	 0.67	 8.19	 0.03	 0.03	52.15	 3.21	 3.21	22.16	 0.49	 0.49	 3	 0.37	 17	 0.54	Simbad	NED	087.316	-62.087
G271.50-56.55	 	 0.300	 8.07	 2.11	 1.51	 9.79	 0.75	 0.61	 7.10	 0.71	 0.71	 7.02	 0.91	 0.91	 8.44	 0.62	 0.62	 5.18	 0.35	 0.35	24.85	 1.97	 1.97	16.30	 1.21	 1.21	 4	 0.57	 36	 0.83	Simbad	NED	041.406	-53.034
G272.10-40.15	 	 0.059	 6.11	 0.09	 0.08	 7.79	 0.05	 0.05	 6.35	 0.04	 0.04	 6.10	 0.04	 0.04	 5.02	 0.08	 0.08	 4.01	 0.06	 0.06	12.62	 0.29	 0.29	10.10	 0.21	 0.21	33	 0.89	372	 0.95	Simbad	NED	067.829	-61.425
G277.75-51.73	 	 0.440	 8.96	 0.73	 0.59	14.49	 0.54	 0.47	 7.80	 0.23	 0.23	 7.74	 0.25	 0.25	 9.41	 0.38	 0.38	 8.20	 0.29	 0.29	25.18	 1.51	 1.51	21.96	 1.21	 1.21	 6	 1.01	 25	 1.35	Simbad	NED	043.596	-58.964
G278.60+39.17	 	 0.307	 9.37	 0.87	 0.81	13.38	 0.56	 0.55	 8.02	 0.35	 0.35	 7.98	 0.46	 0.46	10.53	 0.38	 0.38	 7.50	 0.26	 0.26	26.14	 1.23	 1.23	18.64	 0.80	 0.80	 6	 0.93	 17	 1.04	Simbad	NED	173.003	-19.919
G280.19+47.81	 	 0.156	 6.53	 1.70	 1.09	 7.44	 0.61	 0.47	 6.99	 0.26	 0.26	 6.94	 0.32	 0.32	 3.13	 0.16	 0.16	 2.50	 0.06	 0.06	 7.48	 0.55	 0.55	 5.99	 0.27	 0.27	 8	 0.66	 22	 0.89	Simbad	NED	177.455	-12.316
G282.49+65.17	 	 0.077	 5.25	 0.22	 0.20	 6.64	 0.11	 0.10	 5.54	 0.14	 0.14	 5.41	 0.18	 0.18	 2.97	 0.05	 0.05	 2.19	 0.02	 0.02	 6.82	 0.18	 0.18	 5.02	 0.11	 0.11	16	 1.05	141	 1.12	Simbad	NED	184.411	+03.652
G283.16-22.93	 	 0.450	 7.34	 1.14	 0.97	10.53	 0.65	 0.61	 7.32	 0.36	 0.36	 7.52	 0.49	 0.49	 9.94	 0.39	 0.39	 6.47	 0.27	 0.27	26.47	 1.30	 1.30	17.22	 0.77	 0.77	 3	 0.99	  9	 1.02	Simbad	NED	111.688	-71.624
G284.46+52.43	 	 0.441	10.63	 0.55	 0.48	16.94	 0.34	 0.31	 9.48	 0.14	 0.14	 9.83	 0.21	 0.21	20.29	 0.43	 0.43	12.07	 0.38	 0.38	63.47	 1.53	 1.53	37.68	 1.10	 1.10	 7	 0.98	 59	 1.51	Simbad	NED	181.588	-08.810
G284.99-23.70	*	 0.390	10.10	 1.57	 1.23	14.88	 0.83	 0.70	 7.53	 0.53	 0.53	 7.61	 0.78	 0.78	17.51	 0.83	 0.83	 9.85	 0.22	 0.22	41.13	 2.89	 2.89	23.17	 1.06	 1.06	 3	 0.36	 16	 0.62	Simbad	NED	110.805	-73.457
G285.63-17.24	*	 0.350	 6.59	 1.00	 1.17	 8.20	 0.57	 0.78	 5.78	 0.63	 0.63	 5.74	 0.68	 0.68	 3.98	 0.40	 0.40	 3.35	 0.30	 0.30	 7.80	 1.09	 1.09	 6.56	 0.85	 0.85	 1	 0.86	 14	 0.86	Simbad	NED	131.007	-71.214
G286.58-31.25	 	 0.210	 5.52	 0.45	 0.26	 7.18	 0.24	 0.15	 5.88	 0.15	 0.15	 5.87	 0.19	 0.19	 4.08	 0.13	 0.13	 3.07	 0.08	 0.08	 9.28	 0.44	 0.44	 7.00	 0.29	 0.29	 7	 1.01	 30	 1.21	Simbad	NED	082.842	-75.164
G286.99+32.91	 	 0.390	12.20	 0.76	 0.70	22.08	 0.62	 0.57	10.62	 0.69	 0.69	10.47	 0.73	 0.73	19.86	 0.77	 0.77	15.63	 0.53	 0.53	62.75	 4.77	 4.77	49.38	 3.45	 3.45	 5	 1.03	 12	 1.09	Simbad	NED	177.714	-28.074
G288.61-37.65	 	 0.127	 4.00	 0.70	 0.48	 7.35	 0.67	 0.50	 3.09	 0.93	 0.93	 2.38	 1.10	 1.10	 5.26	 0.32	 0.32	 3.60	 0.19	 0.19	12.77	 1.00	 1.00	 8.75	 0.61	 0.61	 5	 1.03	 33	 1.06	Simbad	NED	058.129	-74.005
G292.51+21.98	 	 0.300	 8.03	 0.49	 0.44	11.39	 0.29	 0.27	 7.53	 0.88	 0.88	 7.22	 0.50	 0.50	 6.41	 0.36	 0.36	 5.65	 0.30	 0.30	15.97	 1.25	 1.25	14.08	 1.06	 1.06	 6	 0.69	 33	 1.05	Simbad	NED	180.249	-39.861
G294.66-37.02	 	 0.274	 7.20	 0.59	 0.39	 9.88	 0.36	 0.26	 7.88	 0.30	 0.30	 7.80	 0.39	 0.39	 8.05	 0.44	 0.44	 5.93	 0.28	 0.28	22.32	 2.01	 2.01	16.46	 1.37	 1.37	 4	 0.97	 14	 1.09	Simbad	NED	046.003	-77.884
G304.67-31.66	 	 0.193	 4.16	 1.10	 0.79	 5.38	 0.76	 0.61	 5.15	 0.69	 0.69	 5.22	 0.96	 0.96	 2.41	 0.46	 0.46	 2.15	 0.43	 0.43	 4.54	 1.07	 1.07	 4.02	 1.00	 1.00	 2	 0.67	  5	 0.90	Simbad	NED	354.822	-85.213
G304.84-41.42	 	 0.410	 8.28	 0.64	 0.60	11.41	 0.38	 0.35	 9.47	 1.31	 1.31	 8.73	 1.22	 1.22	10.21	 0.26	 0.26	 7.14	 0.35	 0.35	23.76	 1.16	 1.16	16.56	 0.91	 0.91	 2	 0.95	  6	 0.95	Simbad	NED	007.086	-75.620
G306.68+61.06	 	 0.085	 3.93	 0.13	 0.31	 5.03	 0.07	 0.17	 5.00	 0.10	 0.10	 4.78	 0.15	 0.15	 3.93	 0.07	 0.07	 2.32	 0.01	 0.01	 8.36	 0.19	 0.19	 4.93	 0.05	 0.05	22	 1.02	144	 1.02	Simbad	NED	194.675	-01.756
G306.80+58.60	 	 0.085	 4.60	 0.26	 0.16	 5.82	 0.14	 0.09	 5.64	 0.11	 0.11	 5.58	 0.15	 0.15	 4.46	 0.07	 0.07	 2.61	 0.04	 0.04	10.62	 0.22	 0.22	 6.23	 0.10	 0.10	17	 0.98	 72	 1.04	Simbad	NED	194.879	-04.203
G308.32-20.23	*	 0.480	 8.61	 1.22	 0.98	10.52	 0.57	 0.48	 8.95	 0.84	 0.84	 7.40	 0.70	 0.70	17.31	 1.14	 1.14	10.39	 0.43	 0.43	67.99	 7.98	 7.98	40.90	 3.79	 3.79	 3	 0.66	 21	 0.66	Simbad	NED	229.587	-81.523
G313.36+61.11	 	 0.183	 7.87	 0.10	 0.09	10.53	 0.07	 0.06	 8.60	 0.08	 0.08	 8.26	 0.11	 0.11	12.82	 0.13	 0.13	 5.47	 0.14	 0.14	37.61	 0.68	 0.68	16.14	 0.13	 0.13	 9	 0.98	 80	 1.01	Simbad	NED	197.877	-01.348
G313.87-17.10	 	 0.153	 8.24	 0.25	 0.23	10.78	 0.13	 0.13	 8.43	 0.15	 0.15	 8.15	 0.24	 0.24	11.10	 0.33	 0.33	 5.57	 0.15	 0.15	31.84	 1.60	 1.60	15.91	 0.77	 0.77	11	 0.91	 61	 0.91	Simbad	NED	240.379	-75.762
G318.13-29.57	 	 0.217	 5.59	 0.64	 0.57	 7.43	 0.40	 0.38	 5.96	 0.66	 0.66	 5.17	 0.93	 0.93	 7.39	 0.56	 0.56	 4.40	 0.29	 0.29	22.10	 3.07	 3.07	13.15	 1.67	 1.67	 2	 0.83	  4	 1.11	Simbad	NED	296.802	-76.410
G321.96-47.97	 	 0.094	 3.95	 0.29	 0.23	 4.83	 0.17	 0.14	 4.60	 0.11	 0.11	 4.43	 0.14	 0.14	 3.10	 0.09	 0.09	 2.33	 0.05	 0.05	 6.51	 0.23	 0.23	 4.91	 0.15	 0.15	19	 0.84	 52	 1.12	Simbad	NED	342.492	-64.418
G324.49-44.97	 	 0.095	 3.09	 0.40	 0.19	 3.47	 0.20	 0.10	 4.08	 0.12	 0.12	 4.16	 0.18	 0.18	 1.85	 0.08	 0.08	 1.26	 0.04	 0.04	 3.46	 0.20	 0.20	 2.36	 0.11	 0.11	10	 0.99	 37	 1.08	Simbad	NED	334.535	-65.206
G332.23-46.36	 	 0.098	 5.09	 0.15	 0.10	 7.06	 0.08	 0.06	 6.13	 0.09	 0.09	 5.95	 0.12	 0.12	 4.71	 0.11	 0.11	 3.09	 0.06	 0.06	11.37	 0.34	 0.34	 7.48	 0.20	 0.20	17	 1.04	102	 1.08	Simbad	NED	330.457	-59.947
G332.88-19.28	 	 0.147	 6.22	 0.38	 0.33	 7.74	 0.21	 0.19	 6.02	 0.77	 0.77	 5.48	 1.09	 1.09	 4.55	 0.19	 0.19	 3.09	 0.11	 0.11	11.06	 0.82	 0.82	 7.51	 0.50	 0.50	 6	 0.47	 13	 0.58	Simbad	NED	273.339	-61.451
